"","x"
"142",0.557782915551017
"143",0.557782915551017
"144",0.703868015553559
"145",0.67693796229666
"146",0.910338552931233
"147",0.89912346568099
"148",0.871397819815295
"149",0.915867823617597
"150",0.795889113972099
"151",0.845001452267905
"152",0.834417620087872
"153",0.894631932668726
"154",0.697010016325897
"155",0.666889240071904
"156",0.796189524143656
"157",0.890320470305609
"158",0.763225816829085
"159",0.915403026419966
"160",0.910488739308
"161",0.90526903521196
"162",0.743456754833982
"163",0.936937217341277
"164",0.720638821296367
"165",0.913993347411611
"166",0.799517373847112
"167",0.933612221502385
"168",0.88760560754653
"169",0.881004084141388
"170",0.693612031441153
"171",0.990830595077456
"172",0.767866022949762
"173",0.993326653632723
"174",0.888432897835209
"175",0.969345897044618
"176",0.749197497394258
"177",0.505524420016146
"178",0.505524420016146
"179",0.961031990919676
"180",0.961031990919676
"181",0.907104575342606
"182",0.660167552906313
"183",0.808745389331646
"184",0.985625542668979
"185",0.977954843827285
"186",0.966657967310548
"187",0.843662693395942
"188",0.796680729048929
"189",0.966009100555238
"190",0.920686732742121
"191",0.981433192091389
"192",0.958014021444415
"193",0.873135028267107
"194",0.981289354805763
"195",0.728157574144204
"196",0.97708321342945
"197",0.918904345251499
"198",0.918904345251499
"199",0.993063774721001
"200",0.957401787027239
"201",0.999447120312859
"202",0.996882706140095
"203",0.7849491270086
"204",0.614876846835304
"205",0.7849491270086
"206",0.918102185780026
"207",0.957921549252039
"208",0.985462770206997
"209",0.995850077715063
"210",0.831521712030203
"211",0.973469814783543
"212",0.999923151223102
"213",0.968102800475068
"214",0.704566108131676
"215",0.704566108131676
"216",0.869133443099944
"217",0.704566108131676
"218",0.993244249641207
"219",0.994716421426058
"220",0.998826262492272
"221",0.997516287327763
"222",0.970754849892821
"223",0.988448429560118
"224",0.922756668098082
"225",0.776080754489224
"226",0.999999991879358
"227",0.982922488829961
"228",0.955507697799866
"229",0.990181882904
"230",0.999462162294082
"231",0.992594396891829
"232",0.874879351717948
"233",0.974879101590741
"234",0.999997508538957
"235",0.995826135700918
"236",0.995826135700918
"237",0.981244604656007
"238",0.981244604656007
"239",0.99945694048154
"240",0.999903118450396
"241",0.907484191178779
"242",0.95025838437329
"243",0.95025838437329
"244",0.963779207918848
"245",0.986314463241435
"246",0.986314463241435
"247",0.986314463241435
"248",0.999879529910293
"249",0.992950364360085
"250",0.9987062611615
"251",0.9987062611615
