"","x"
"97",0.00825714261062986
"98",0.0419483033286009
"99",0.0419483033286009
"100",0.112853057146849
"101",0.112853057146849
"102",0.142775119945259
"103",0.0433788886525718
"104",0.0397629610040425
"105",0.142931066593044
"106",0.0291834380993274
"107",0.0686636681508184
"108",0.0686636681508184
"109",0.139509045092966
"110",0.0956021027677228
"111",0.0625441547668715
"112",0.13451281058065
"113",0.0829321306427
"114",0.1229231104675
"115",0.0423021264879938
"116",0.0402521923760504
"117",0.0180433119922397
"118",0.184673895344348
"119",0.184673895344348
"120",0.151719057051195
"121",0.102338977041102
"122",0.151719057051195
"123",0.114487893398692
"124",0.184673895344348
"125",0.160216649210921
"126",0.176866302831984
"127",0.135633453273105
"128",0.160216649210921
"129",0.151719057051195
"130",0.0531755684692728
"131",0.146481791540461
"132",0.165674839477295
"133",0.165674839477295
"134",0.12799460764128
"135",0.135975626711867
"136",0.200312671693885
"137",0.200312671693885
"138",0.18935588792414
"139",0.213456799278415
"140",0.213456799278415
"141",0.213456799278415
"142",0.213456799278415
"143",0.202699619301022
"144",0.217427043656858
"145",0.208753961527296
"146",0.233796707969475
"147",0.157715229637902
"148",0.216162382010843
"149",0.200066914387359
"150",0.184591702994522
"151",0.231680909589455
"152",0.248433628595439
"153",0.239624079550934
"154",0.248433628595439
"155",0.238196337356057
"156",0.238196337356057
"157",0.248842375970404
"158",0.259433039686761
"159",0.243694892627716
"160",0.218564384447665
"161",0.248471862951219
"162",0.280155124684602
"163",0.28943566375379
"164",0.284598895828167
"165",0.291300075427253
"166",0.301336144888215
"167",0.305045228287655
"168",0.305045228287655
"169",0.285819384856746
"170",0.331310985185107
"171",0.335026051780742
"172",0.33624538621451
"173",0.245460313921192
"174",0.245460313921192
"175",0.245460313921192
"176",0.320222875309946
"177",0.296752430399931
"178",0.320222875309946
"179",0.357574090983045
"180",0.357574090983045
"181",0.296752430399931
"182",0.296752430399931
"183",0.385267908857423
"184",0.410821249672037
"185",0.432501375917838
"186",0.465027798002187
"187",0.375231673171879
"188",0.4464744344119
"189",0.440485156328525
"190",0.440485156328525
"191",0.368008399469268
"192",0.354493921820433
"193",0.354493921820433
"194",0.354493921820433
"195",0.416830192349056
"196",0.416830192349056
"197",0.354493921820433
"198",0.416830192349056
"199",0.53310264236385
"200",0.453963287552828
"201",0.453963287552828
"202",0.552150001008547
"203",0.531095835185424
"204",0.641013893333349
"205",0.51708725959986
"206",0.631847425200609
"207",0.526222938113161
"208",0.323845772024306
"209",0.323845772024306
"210",0.498174343884717
"211",0.323845772024306
"212",0.323845772024306
"213",0.498174343884717
"214",0.323845772024306
"215",0.323845772024306
"216",0.411556671948
"217",0.560867074943228
"218",0.537210962221917
"219",0.507551210780763
"220",0.610956005290405
"221",0.466921849364797
"222",0.551042940509055
"223",0.551042940509055
"224",0.610681628389064
"225",0.656746856493369
"226",0.725298635589535
"227",0.813113510131353
"228",0.644750832918681
"229",0.644750832918681
"230",0.519824610195531
"231",0.938791363695469
"232",0.764741500614544
"233",0.764741500614544
"234",0.631428098680791
"235",0.735121019277693
"236",0.701907646409386
"237",0.659284817532308
"238",0.94811946950599
"239",0.904618909735904
"240",0.698691393913009
"241",0.955709411454705
"242",0.812374989136659
"243",0.812374989136659
"244",0.734530178250306
"245",0.951784106647416
"246",0.766910279028174
"247",0.598229972275655
"248",0.904627195398665
"249",0.766910279028174
"250",0.904627195398665
"251",0.974123496073185
"252",0.871150097440244
"253",0.99683876387137
"254",0.996521167735663
"255",0.700560912462579
"256",0.865534871608624
"257",0.997957567818633
"258",0.974515293392224
"259",0.883569839091962
"260",0.743040742116721
"261",0.89941428100742
"262",0.991980017640761
"263",0.903417661446764
"264",0.93148952091945
"265",0.959547394873534
"266",0.983599714804239
"267",0.990570324940663
"268",0.996945491868787
"269",0.999999654178603
